,publication,number_reviews,average_score
0,Action Trip,1,88
1,Absolute Playstation,9,88
2,GameScience,2,88
3,AppAdvice,6,86
4,Voodoo Extreme,6,85
5,TheAppzine,6,85
6,Game Critics,1,85
7,PGNx Media,9,85
8,Antagonist -- Ant.com,1,85
9,Gaming Illustrated,1,84
10,Metro Montreal,1,84
11,Dreamcast.net,3,83
12,Videogameszone.de,2,83
13,IGN UK,2,83
14,Australian GamePro,7,83
15,Gaming Maxx,1,83
16,YouGamers,8,83
17,BBC Sport,5,83
18,XGP Gaming,2,83
19,VIA Gamers Arena,1,82
20,Antagonist,1,82
21,AtomicGamer,8,82
22,Game Fan,8,82
23,Pelit (Finland),2,82
24,Forbes,1,82
25,GameReviewer,7,82
26,IGN AU,2,81
27,Cheat Code Central Platinum,2,81
28,PC Arena,4,81
29,Into Liquid Sky,2,81
30,AppSmile,5,81
31,Xbox Exclusive,4,81
32,Power Unlimited,2,81
33,Sega X,5,81
34,Four Fat Chicks,2,81
35,KickMyGeek,7,81
36,FiringSquad,2,81
37,Games Domain,1,81
38,GamesNation,1,80
39,Xbox Solution,1,80
40,Pregaming,2,80
41,Hobby Consolas,7,80
42,IGN Japan,7,80
43,Gamersky,8,80
44,Vgames,1,80
45,Glixel,4,80
46,Strategy Gamer,3,80
47,Inside Gamer Online,2,80
48,Computer Games Online RO,4,80
49,Nintendorks,6,80
50,Playboy,1,80
51,GamePro Germany,2,80
52,AppSafari,5,80
53,Firing Squad,3,80
54,Cincinnati Enquirer,3,80
55,Ragequit.gr,7,80
56,Hot Games,7,80
57,Gamers.at,4,80
58,Ten Ton Hammer,8,80
59,GameBrink,2,80
60,Next Level Gaming,1,79
61,Just RPG,2,79
62,RPG Fan,1,79
63,Time,6,79
64,CPUGamer,3,79
65,BonusStage,6,79
66,Atomix,6,79
67,Gamers Depot,3,79
68,Cynamite,6,79
69,GamesBeat,6,79
70,Just Adventure,2,79
71,Gamezilla!,1,79
72,Game Power Australia,1,79
73,CheckOut,7,79
74,Impulsegamer,1,79
75,FHM,4,79
76,Cinescape,3,78
77,GamesVillage.it,1,78
78,IC-Games,4,78
79,GameSpace,3,78
80,Telegraph,6,78
81,NF Magazine,3,78
82,Talk Xbox,2,78
83,TrueGaming,9,78
84,Softpedia,4,78
85,GamingTrend,3,78
86,Gaming Target,8,78
87,AllDreamcast,5,78
